,"('', 'pi_pc')","('', 'w_pc')","('', 'p_pc')","('', 'q_pc')","('', 'pi_vc')","('', 'i_vsc_d')","('', 'i_vsc_q')","('', 'i_bus_d')","('', 'i_bus_q')","('', 'v_lcl_sh_d')","('', 'v_lcl_sh_q')","('inf_src_1', 'i_bus_d')","('inf_src_1', 'i_bus_q')","('pa_rc_1', 'v_bus_D')","('pa_rc_1', 'v_bus_Q')","('pa_rc_2', 'v_bus_D')","('pa_rc_2', 'v_bus_Q')","('se_rl_1', 'i_br_D')","('se_rl_1', 'i_br_Q')"
"('gfmi_c_1', 'i_bus_D')",0.3559951620145334,0.0,0.0,0.0,0.0,0.0,0.0,0.9304694011266067,-0.3663696133238862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('gfmi_c_1', 'i_bus_Q')",0.7770939247188596,0.0,0.0,0.0,0.0,0.0,0.0,0.3663696133238862,0.9304694011266067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9109665745799931,0.41248018133965414,0.0,0.0,0.0,0.0,0.0,0.0
"('inf_src_1', 'i_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41248018133965414,0.9109665745799931,0.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"('pa_rc_1', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"('pa_rc_2', 'v_bus_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"('se_rl_1', 'i_br_D')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"('se_rl_1', 'i_br_Q')",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
